STARTDATE,Rainfall_Value,LOCPRESENT,Square_root_transformed_locust
1987-01-01,0.663569093,2,1.4142135623730951
1987-06-01,15.71397305,15,3.872983346207417
1987-07-01,141.305728863,52,7.211102550927978
1987-08-01,60.957064598,13,3.605551275463989
1989-01-01,5.400155067999999,8,2.8284271247461903
2009-06-01,5.460732430999999,7,2.6457513110645907
2009-07-01,9.267831802,9,3.0
2009-08-01,1.956120729,3,1.7320508075688772
2014-03-01,3.399187088,6,2.449489742783178
2014-04-01,30.640300597,8,2.8284271247461903
2014-05-01,11.005989255,35,5.916079783099616
2014-08-01,13.865062713,5,2.23606797749979
2014-10-01,1.750841975,2,1.4142135623730951
2019-06-01,10.37433338,3,1.7320508075688772
2019-08-01,131.406236653,21,4.58257569495584
2019-09-01,32.956736789999994,34,5.830951894845301
2019-10-01,89.91692161,15,3.872983346207417
2019-11-01,130.897719174,65,8.06225774829855
2019-12-01,0.220799178,46,6.782329983125268
2020-01-01,93.84187190499999,87,9.327379053088816
2020-02-01,172.21426789299994,104,10.198039027185569
2020-03-01,188.01984542999995,98,9.899494936611665
2020-04-01,1414.7781736740012,278,16.673332000533065
2020-05-01,150.541372362,96,9.797958971132712
2020-06-01,81.55127673499997,113,10.63014581273465
2020-07-01,269.55065027600006,88,9.38083151964686
2020-08-01,491.1747890700001,124,11.135528725660043
2020-09-01,359.8239411490001,186,13.638181696985855
2020-10-01,167.19520772100017,496,22.271057451320086
2020-11-01,32.502468464,78,8.831760866327848
2020-12-01,62.151595906000004,441,21.0
2021-01-01,72.089430677,280,16.73320053068151
2021-02-01,153.383253454,303,17.406895185529212
2021-03-01,17.299399912,79,8.888194417315589
2021-04-01,206.9731477889999,104,10.198039027185569
2021-05-01,115.48582422700001,26,5.0990195135927845
